trip_id,origin_depot,destination_depot,start_time,end_time,service_km,energy_kwh,cancel_penalty
T140,D_D,D_F,16:35,17:19,42,75,2724
T141,D_E,D_A,16:40,17:31,49,84,2878
T142,D_F,D_D,16:45,17:43,56,101,3032
T143,D_G,D_F,16:50,17:55,23,42,2306
T144,D_H,D_B,16:55,18:07,30,51,2460
T145,D_A,D_E,17:00,17:33,37,68,2614
T146,D_B,D_H,17:05,17:45,44,77,2768
T147,D_C,D_B,17:10,17:57,51,94,2922
T148,D_D,D_F,17:15,18:09,58,103,3076
T149,D_E,D_A,17:20,18:21,25,44,2350
T150,D_F,D_D,17:25,18:33,32,60,2504
T151,D_G,D_F,17:30,18:45,39,69,2658
T152,D_H,D_B,17:35,18:11,46,78,2812
T153,D_A,D_E,17:40,18:23,53,95,2966
T154,D_B,D_H,17:45,18:35,60,104,3120
T155,D_C,D_B,17:50,18:47,27,53,2394
T156,D_D,D_F,17:55,18:59,34,62,2548
T157,D_E,D_A,18:00,19:11,41,71,2702
T158,D_F,D_D,18:05,18:37,48,88,2856
T159,D_G,D_F,18:10,18:49,55,96,3010
T160,D_H,D_B,18:15,19:01,22,37,2284
T161,D_A,D_E,18:20,19:13,29,54,2438
T162,D_B,D_H,18:25,19:25,36,63,2592
T163,D_C,D_B,18:30,19:37,43,80,2746
T164,D_D,D_F,18:35,19:49,50,89,2900
T165,D_E,D_A,18:40,19:15,57,98,3054
T166,D_F,D_D,18:45,19:27,24,47,2328
T167,D_G,D_F,18:50,19:39,31,56,2482
T168,D_H,D_B,18:55,19:51,38,65,2636
T169,D_A,D_E,19:00,20:03,45,82,2790
T170,D_B,D_H,19:05,20:15,52,90,2944
T171,D_C,D_B,19:10,19:41,59,107,3098
T172,D_D,D_F,19:15,19:53,26,48,2372
T173,D_E,D_A,19:20,20:05,33,57,2526
T174,D_F,D_D,19:25,20:17,40,74,2680
T175,D_G,D_F,19:30,20:29,47,83,2834
T176,D_H,D_B,19:35,20:41,54,92,2988
T177,D_A,D_E,19:40,20:53,61,109,3142
T178,D_B,D_H,19:45,20:19,28,50,2416
T179,D_C,D_B,19:50,20:31,35,66,2570
T180,D_X,D_F,19:55,20:43,42,75,2724
