arc_id,from_node,to_node,base_capacity_units_per_phase,travel_minutes,reversible_group
R0057,Z29,J05,1973,15,G05
R0058,J05,Z29,387,15,G05
R0059,Z30,J06,2010,16,G06
R0060,J06,Z30,410,16,G06
R0061,Z31,J07,2047,17,G07
R0062,J07,Z31,433,17,G07
R0063,Z32,J08,2084,18,G08
R0064,J08,Z32,456,18,G08
R0065,Z33,J09,2121,19,G09
R0066,J09,Z33,479,19,G09
R0067,Z34,J10,2158,20,G10
R0068,J10,Z34,502,20,G10
R0069,Z35,J11,2195,21,G11
R0070,J11,Z35,525,21,G11
R0071,Z36,J12,2232,22,G12
R0072,J12,Z36,548,22,G12
R0073,Z37,J01,2269,23,G01
R0074,J01,Z37,571,23,G01
R0075,Z38,J02,2306,24,G02
R0076,J02,Z38,594,24,G02
R0077,Z39,J03,2343,25,G03
R0078,J03,Z39,617,25,G03
R0079,Z40,J04,2380,26,G04
R0080,J04,Z40,640,26,G04
R0081,Z41,J05,2417,27,G05
R0082,J05,Z41,663,27,G05
R0083,Z42,J06,2454,14,G06
R0084,J06,Z42,686,14,G06
R0085,Z43,J07,2491,15,G07
R0086,J07,Z43,709,15,G07
R0087,Z44,J08,2528,16,G08
R0088,J08,Z44,732,16,G08
R0089,Z45,J09,2565,17,G09
R0090,J09,Z45,755,17,G09
R0091,Z46,J10,902,18,G10
R0092,J10,Z46,778,18,G10
R0093,Z47,J11,939,19,G11
R0094,J11,Z47,801,19,G11
R0095,Z48,J12,976,20,G12
R0096,J12,Z48,824,20,G12
R0097,Z49,J01,1013,21,G01
R0098,J01,Z49,847,21,G01
R0099,Z50,J02,1050,22,G02
R0100,J02,Z50,870,22,G02
R0101,Z51,J03,1087,23,G03
R0102,J03,Z51,893,23,G03
R0103,Z52,J04,1124,24,G04
R0104,J04,Z52,916,24,G04
R0105,Z53,J05,1161,25,G05
R0106,J05,Z53,939,25,G05
R0107,Z54,J06,1198,26,G06
R0108,J06,Z54,342,26,G06
R0109,Z55,J07,1235,27,G07
R0110,J07,Z55,365,27,G07
R0111,Z56,J08,1272,14,G08
R0112,J08,Z56,388,14,G08
R0113,Z57,J09,1309,15,G09
R0114,J09,Z57,411,15,G09
R0115,Z58,J10,1346,16,G10
R0116,J10,Z58,434,16,G10
R0117,Z59,J11,1383,17,G11
R0118,J11,Z59,457,17,G11
R0119,Z60,J12,1420,18,G12
R0120,J12,Z60,480,18,G12
R0121,Z61,J01,1457,19,G01
R0122,J01,Z61,503,19,G01
R0123,Z62,J02,1494,20,G02
R0124,J02,Z62,526,20,G02
R0125,Z63,J03,1531,21,G03
R0126,J03,Z63,549,21,G03
R0127,Z64,J04,1568,22,G04
R0128,J04,Z64,572,22,G04
R0129,Z65,J05,1605,23,G05
R0130,J05,Z65,595,23,G05
R0131,Z66,J06,1642,24,G06
R0132,J06,Z66,618,24,G06
R0133,Z67,J07,1679,25,G07
R0134,J07,Z67,641,25,G07
R0135,Z68,J08,1716,26,G08
R0136,J08,Z68,664,26,G08
R0137,Z69,J09,1753,27,G09
R0138,J09,Z69,687,27,G09
R0139,Z70,J10,1790,14,G10
R0140,J10,Z70,710,14,G10
R0141,Z71,J11,1827,15,G11
R0142,J11,Z71,733,15,G11
R0143,Z72,J12,1864,16,G12
R0144,J12,Z72,756,16,G12
R0145,Z73,J01,1901,17,G01
R0146,J01,Z73,779,17,G01
R0147,Z74,J02,1938,18,G02
R0148,J02,Z74,802,18,G02
R0149,Z75,J03,1975,19,G03
R0150,J03,Z75,825,19,G03
R0151,Z76,J04,2012,20,G04
R0152,J04,Z76,848,20,G04
R0153,Z77,J05,2049,21,G05
R0154,J05,Z77,871,21,G05
R0155,Z78,J06,2086,22,G06
R0156,J06,Z78,894,22,G06
R0157,Z79,J07,2123,23,G07
R0158,J07,Z79,917,23,G07
R0159,Z80,J08,2160,24,G08
R0160,J08,Z80,940,24,G08
R0161,J01,S08,1291,13,
R0162,J01,S19,1364,14,
R0163,J01,S30,1437,15,
R0164,J01,S41,1510,16,
R0165,J02,S15,1382,14,
R0166,J02,S26,1455,15,
R0167,J02,S37,1528,16,
R0168,J02,S48,1601,17,
R0169,J03,S22,1473,15,
R0170,J03,S33,1546,16,
R0171,J03,S44,1619,17,
R0172,J03,S05,1692,18,
R0173,J04,S29,1564,16,
R0174,J04,S40,1637,17,
R0175,J04,S01,1710,18,
R0176,J04,S12,1783,19,
R0177,J05,S36,1655,17,
R0178,J05,S47,1728,18,
R0179,J05,S08,1801,19,
R0180,J05,S19,1874,20,
R0181,J06,S43,1746,18,
R0182,J06,S04,1819,19,
R0183,J06,S15,1892,20,
R0184,J06,S26,1965,21,
R0185,J07,S50,1837,19,
R0186,J07,S11,1910,20,
R0187,J07,S22,1983,21,
R0188,J07,S33,2056,22,
R0189,J08,S07,1928,20,
R0190,J08,S18,2001,21,
R0191,J08,S29,2074,22,
R0192,J08,S40,2147,23,
R0193,J09,S14,2019,21,
R0194,J09,S25,2092,22,
R0195,J09,S36,2165,23,
R0196,J09,S47,2238,12,
R0197,J10,S21,2110,22,
R0198,J10,S32,2183,23,
R0199,J10,S43,2256,12,
R0200,J10,S04,2329,13,
R0201,J11,S28,2201,23,
R0202,J11,S39,2274,12,
R0203,J11,S50,2347,13,
R0204,J11,S11,2420,14,
R0205,J12,S35,2292,12,
R0206,J12,S46,2365,13,
R0207,J12,S07,2438,14,
R0208,J12,S18,2511,15,
